"filename", "language", "Properties", "JavaScript", "JavaScript JSX", "CSS", "JSON", "Markdown", "Prisma", "HTML", "XML", "JSON with Comments", "comment", "blank", "total"
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\main-section\main-section.jsx", "JavaScript JSX", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 1, 7, 72
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\other\Stepper\index.jsx", "JavaScript JSX", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\other\Stepper\styles.module.css", "CSS", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 4, 41
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\other\generalTopPageBanner\index.jsx", "JavaScript JSX", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 4, 21, 109
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\other\loading\index.jsx", "JavaScript JSX", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\other\navbar\index.jsx", "JavaScript JSX", 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 34, 47, 246
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\other\notification\index.jsx", "JavaScript JSX", 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 15, 23, 188
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\other\notification\styles.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\other\popup\index.jsx", "JavaScript JSX", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 16, 75
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\other\sidebarButton\index.jsx", "JavaScript JSX", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 2, 11, 43
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\other\sidebarButton\styles.module.css", "CSS", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 7, 46
